Gene ID,Gene Accession,Gene name,Reaction id,Reaction EC,Enzymatic activity,Evidence,
AT2G19940,AT2G19940.1,AT2G19940.1,N-ACETYLGLUTPREDUCT-RXN,1.2.1.38,N-acetyl-gamma-glutamyl-phosphate reductase,EV-COMP,
AT1G80600,AT1G80600.1,AT1G80600.1,ACETYLORNTRANSAM-RXN,2.6.1.11,acetylornithine transaminase,EV-COMP,
AT4G17830,AT4G17830.2,AT4G17830.2,ACETYLORNDEACET-RXN,3.5.1.16,acetylornithine deacetylase,EV-COMP,
AT1G75330,AT1G75330.1,OTC,ORNCARBAMTRANSFER-RXN,2.1.3.3,ornithine carbamoyltransferase,EV-EXP,
AT4G24830,AT4G24830.1,AT4G24830.1,ARGSUCCINSYN-RXN,6.3.4.5,argininosuccinate synthase,EV-COMP,
GQT-4062,AT4G32915.1,AT4G32915.1,6.3.5.6-RXN,6.3.5.6,asparaginyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
GQT-4335,AT4G34880.1,AT4G34880.1,6.3.5.6-RXN,6.3.5.6,asparaginyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
AT1G48520,AT1G48520.1,AT1G48520.1,6.3.5.6-RXN,6.3.5.6,asparaginyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
AT3G04940,AT3G04940.1,AT3G04940.1,L-3-CYANOALANINE-SYNTHASE-RXN,4.4.1.9,L-3-cyanoalanine synthase,EV-COMP,
AT5G28020,AT5G28020.1,AT5G28020.1,L-3-CYANOALANINE-SYNTHASE-RXN,4.4.1.9,L-3-cyanoalanine synthase,EV-COMP,
AT3G61440,AT3G61440.1,AT3G61440.1,L-3-CYANOALANINE-SYNTHASE-RXN,4.4.1.9,L-3-cyanoalanine synthase,EV-EXP,
AT5G22300,AT5G22300.1,NIT4,3.5.5.4-RXN,3.5.5.4,3-cyano-L-alanine nitrilase,EV-EXP,
AT5G22300,AT5G22300.1,NIT4,3-CYANOALANINE-HYDRATASE-RXN,4.2.1.65,3-cyanoalanine hydratase,EV-EXP,
GQT-4573,AT2G03667.1,AT2G03667.1,ASNSYNA-RXN,6.3.1.1,aspartate-ammonia ligase,EV-COMP,
GQT-4573,AT2G03667.1,AT2G03667.1,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolysing),EV-COMP,
AT5G10240,AT5G10240.1,ASN3,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolyzing),EV-EXP,
AT5G65010,AT5G65010.2,ASN2,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolyzing),EV-EXP,
AT3G47340,AT3G47340.1,ASN1,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolyzing),EV-EXP,
GQT-4573,AT2G03667.1,AT2G03667.1,ASNSYNA-RXN,6.3.1.1,aspartate-ammonia ligase,EV-COMP,
GQT-4573,AT2G03667.1,AT2G03667.1,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolysing),EV-COMP,
AT5G10240,AT5G10240.1,ASN3,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolyzing),EV-EXP,
AT5G65010,AT5G65010.2,ASN2,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolyzing),EV-EXP,
AT3G47340,AT3G47340.1,ASN1,ASNSYNB-RXN,6.3.5.4,asparagine synthase (glutamine-hydrolyzing),EV-EXP,
AT2G22250,AT2G22250.2,AT2G22250.2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT5G11520,AT5G11520.1,ASP3,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT1G62800,AT1G62800.2,AT1G62800.2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT5G51690,AT5G51690.1,ACS12,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT1G62960,AT1G62960.1,ACS10,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT5G19550,AT5G19550.1,ASP2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT4G31990,AT4G31990.3,ASP5,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT2G30970,AT2G30970.1,ASP1,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
AT3G08860,AT3G08860.1,AT3G08860.1,2.6.1.18-RXN,2.6.1.18,beta-alanine aminotransferase,EV-AS,
AT3G17810,AT3G17810.1,AT3G17810.1,1.3.1.2-RXN,1.3.1.2,dihydropyrimidine dehydrogenase,EV-EXP,
AT5G12200,AT5G12200.1,PYD2,DIHYDROPYRIMIDINASE-RXN,3.5.2.2,5,6-dihydrouracil dihydropyrimidinase,EV-EXP
AT5G64370,AT5G64370.1,PYD3,BETA-UREIDOPROPIONASE-RXN,3.5.1.6,beta-ureidopropionase,EV-EXP,
AT3G13110,AT3G13110.1,SAT3,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine acetyltransferase,EV-EXP,
AT1G55920,AT1G55920.1,SAT1,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine acetyltransferase,EV-EXP,
AT5G56760,AT5G56760.1,SAT5,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine acetyltransferase,EV-EXP,
AT5G56760,AT5G56760.1,SAT5,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine O-acetyltransferase,EV-EXP,
AT3G13110,AT3G13110.1,SAT3,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine O-acetyltransferase,EV-EXP,
AT1G55920,AT1G55920.1,SAT1,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine O-acetyltransferase,EV-EXP,
AT4G35640,AT4G35640.1,SAT4,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine O-acetyltransferase,EV-EXP,
AT2G17640,AT2G17640.1,SAT2,SERINE-O-ACETTRAN-RXN,2.3.1.30,serine O-acetyltransferase,EV-EXP,
AT3G04940,AT3G04940.1,AT3G04940.1,ACSERLY-RXN,2.5.1.47,cysteine synthase,EV-COMP,
AT5G28020,AT5G28020.1,AT5G28020.1,ACSERLY-RXN,2.5.1.47,cysteine synthase,EV-COMP,
GQT-2743,AT5G28030.1,AT5G28030.1,ACSERLY-RXN,2.5.1.47,cysteine synthase,EV-COMP,
AT3G22460,AT3G22460.1,AT3G22460.1,ACSERLY-RXN,2.5.1.47,cysteine synthase,EV-COMP,
AT3G03630,AT3G03630.1,AT3G03630.1,ACSERLY-RXN,2.5.1.47,cysteine synthase,EV-COMP,
AT3G61440,AT3G61440.1,AT3G61440.1,ACSERLY-RXN,2.5.1.47,cysteine synthase,EV-COMP,
AT4G14880,AT4G14880.1,oasA1,ACSERLY-RXN,2.5.1.47,O-acetylserine (thiol) lyase,EV-EXP,
AT2G43750,AT2G43750.1,oasB,ACSERLY-RXN,2.5.1.47,O-acetylserine (thiol) lyase,EV-EXP,
AT3G59760,AT3G59760.1,oasC,ACSERLY-RXN,2.5.1.47,O-acetylserine (thiol) lyase,EV-EXP,
AT1G55880,AT1G55880.1,AT1G55880.1,CYSTATHIONINE-BETA-SYNTHASE-RXN,4.2.1.22,cystathionine beta-synthase,EV-COMP,
GQT-2743,AT5G28030.1,AT5G28030.1,RXN-14048,No EC#,AT5G28030.1,EV-COMP,
AT3G57050,AT3G57050.1,AT3G57050.1,RXN-15131,No EC#,AT3G57050.1,No Evidence Code,
AT4G23590,AT4G23590.1,AT4G23590.1,RXN-15131,No EC#,transaminase,EV-COMP,
AT2G41220,AT2G41220.1,AT2G41220.1,GLUTAMATE-SYNTHASE-FERREDOXIN-RXN,1.4.7.1,glutamate synthase (ferredoxin)<p,EV-COMP,
AT5G04140,AT5G04140.2,AT5G04140.2,GLUTAMATE-SYNTHASE-FERREDOXIN-RXN,1.4.7.1,glutamate synthase (ferredoxin-dependent),EV-EXP,
AT5G53460,AT5G53460.1,AT5G53460.1,GLUTAMATE-SYNTHASE-NADH-RXN,1.4.1.14,glutamate synthase (NADH),EV-AS,
AT1G51720,AT1G51720.1,AT1G51720.1,GLUTDEHYD-RXN,1.4.1.4,glutamate dehydrogenase (NADP+),EV-COMP,
AT5G18170,AT5G18170.1,AT5G18170.1,GLUTAMATE-DEHYDROGENASE-NADP+-RXN,1.4.1.3,glutamate dehydrogenase [NAD(P)+],EV-COMP,
AT5G07440,AT5G07440.1,AT5G07440.1,GLUTAMATE-DEHYDROGENASE-NADP+-RXN,1.4.1.3,glutamate dehydrogenase [NAD(P)+],EV-COMP,
AT3G03910,AT3G03910.1,AT3G03910.1,GLUTAMATE-DEHYDROGENASE-NADP+-RXN,1.4.1.3,glutamate dehydrogenase [NAD(P)+],EV-COMP,
AT4G08900,AT4G08900.1,ARGAH2,ARGINASE-RXN,3.5.3.1,arginase,EV-EXP,
AT4G08870,AT4G08870.1,ARGAH1,ARGINASE-RXN,3.5.3.1,arginase,EV-EXP,
AT4G08900,AT4G08900.1,ARGAH2,ARGINASE-RXN,3.5.3.1,arginase,EV-EXP,
AT5G46180,AT5G46180.1,&delta,-OAT,ORNITHINE-GLU-AMINOTRANSFORASE-RXN,2.6.1.13,ornithine-delta-aminotransferase,EV-EXP
AT5G62530,AT5G62530.1,AT5G62530.1,RXN-14116,1.2.1.88,1-pyrroline-5-carboxylate dehydrogenase,EV-COMP,
GQT-4237,AT4G05400.1,AT4G05400.1,6.3.5.7-RXN,6.3.5.7,glutaminyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
AT1G48520,AT1G48520.1,AT1G48520.1,6.3.5.7-RXN,6.3.5.7,glutaminyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
AT3G25660,AT3G25660.1,AT3G25660.1,6.3.5.7-RXN,6.3.5.7,glutaminyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
AT5G07360,AT5G07360.1,AT5G07360.1,6.3.5.7-RXN,6.3.5.7,glutaminyl-tRNA synthase (glutamine-hydrolysing),EV-COMP,
AT4G15530,AT4G15530.5,AT4G15530.5,PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN,2.7.9.1,pyruvate, orthophosphate dikinase,EV-COMP
GQT-4322,AT3G42628.1,AT3G42628.1,PEPCARBOX-RXN,4.1.1.31,phosphoenolpyruvate carboxylase,EV-COMP,
AT1G68750,AT1G68750.1,AT1G68750.1,PEPCARBOX-RXN,4.1.1.31,phosphoenolpyruvate carboxylase,EV-COMP,
GQT-2357,AT2G42600.1,AT2G42600.1,PEPCARBOX-RXN,4.1.1.31,phosphoenolpyruvate carboxylase,EV-COMP,
AT3G14940,AT3G14940.1,PPC3,PEPCARBOX-RXN,4.1.1.31,phosphoenolpyruvate carboxylase,EV-EXP,
AT1G53310,AT1G53310.1,PPC1,PEPCARBOX-RXN,4.1.1.31,phosphoenolpyruvate carboxylase,EV-COMP,
GQT-4545,AT2G11270.1,AT2G11270.1,CITSYN-RXN,2.3.3.1/2.3.3.16,AT2G11270.1,EV-COMP,
AT3G58740,AT3G58740.1,AT3G58740.1,CITSYN-RXN,2.3.3.1/2.3.3.16,citrate (Si)-synthase,EV-COMP,
AT3G60100,AT3G60100.1,AT3G60100.1,CITSYN-RXN,2.3.3.1/2.3.3.16,citrate (Si)-synthase,EV-COMP,
AT2G44350,AT2G44350.2,AT2G44350.2,CITSYN-RXN,2.3.3.1/2.3.3.16,citrate synthase,EV-EXP,
AT3G58750,AT3G58750.1,AT3G58750.1,CITSYN-RXN,2.3.3.1/2.3.3.16,citrate synthase,EV-EXP,
AT2G42790,AT2G42790.1,AT2G42790.1,CITSYN-RXN,2.3.3.1/2.3.3.16,citrate synthase,EV-EXP,
GQT-1114,AT5G54950.1,AT5G54950.1,ACONITATEDEHYDR-RXN,No EC#,aconitate hydratase,EV-COMP,
AT2G05710,AT2G05710.1,ACO3,ACONITATEDEHYDR-RXN,No EC#,aconitase,EV-EXP,
AT4G26970,AT4G26970.1,ACO2,ACONITATEDEHYDR-RXN,No EC#,aconitase,EV-EXP,
AT4G35830,AT4G35830.1,ACO1,ACONITATEDEHYDR-RXN,No EC#,aconitase,EV-EXP,
GQT-1114,AT5G54950.1,AT5G54950.1,ACONITATEHYDR-RXN,No EC#,aconitate hydratase,EV-COMP,
AT4G35830,AT4G35830.1,ACO1,ACONITATEHYDR-RXN,No EC#,aconitase,EV-EXP,
AT4G26970,AT4G26970.1,ACO2,ACONITATEHYDR-RXN,No EC#,aconitase,EV-EXP,
AT2G05710,AT2G05710.1,ACO3,ACONITATEHYDR-RXN,No EC#,aconitase,EV-EXP,
AT1G54340,AT1G54340.1,AT1G54340.1,ISOCITDEH-RXN,1.1.1.42,isocitrate dehydrogenase (NADP+),EV-COMP,
AT5G14590,AT5G14590.1,AT5G14590.1,ISOCITDEH-RXN,1.1.1.42,isocitrate dehydrogenase (NADP+),EV-COMP,
AT1G65930,AT1G65930.1,cICDH,ISOCITDEH-RXN,1.1.1.42,NADP+-dependent isocitrate dehydrogenase,EV-EXP,
AT1G32480,AT1G32480.1,AT1G32480.1,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,isocitrate dehydrogenase (NAD+),EV-COMP,
AT5G03290,AT5G03290.1,IDH-V,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase,EV-EXP,
AT2G17130,AT2G17130.1,IDH-II,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase,EV-EXP,
AT5G03290,AT5G03290.1,IDH-V,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase catalytic subunit,EV-EXP,
AT4G35650,AT4G35650.1,IDH-III,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase regulatory subunit,EV-EXP,
AT4G35260,AT4G35260.1,IDH-I,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase regulatory subunit,EV-EXP,
AT3G09810,AT3G09810.1,IDH-VI,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase catalytic subunit,EV-EXP,
AT2G17130,AT2G17130.1,IDH-II,ISOCITRATE-DEHYDROGENASE-NAD+-RXN,1.1.1.41,NAD+-dependent isocitrate dehydrogenase regulatory subunit,EV-EXP,
AT2G41220,AT2G41220.1,AT2G41220.1,GLUTAMATE-SYNTHASE-FERREDOXIN-RXN,1.4.7.1,glutamate synthase (ferredoxin)<p,EV-COMP,
AT5G04140,AT5G04140.2,AT5G04140.2,GLUTAMATE-SYNTHASE-FERREDOXIN-RXN,1.4.7.1,glutamate synthase (ferredoxin-dependent),EV-EXP,
AT3G53180,AT3G53180.1,AT3G53180.1,GLUTAMINESYN-RXN,6.3.1.2,glutamate-ammonia ligase,EV-COMP,
AT5G37600,AT5G37600.1,GLN1,1,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT1G66200,AT1G66200.3,GLN1,2,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT3G17820,AT3G17820.1,GLN1,3,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT5G16570,AT5G16570.1,GLN1,4,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT5G35630,AT5G35630.1,GLN2,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP,
AT1G48470,AT1G48470.1,GLN1,5,GLUTAMINESYN-RXN,6.3.1.2,glutamate-ammonia ligase,EV-AS
AT3G53180,AT3G53180.1,AT3G53180.1,GLUTAMINESYN-RXN,6.3.1.2,glutamate-ammonia ligase,EV-COMP,
AT5G37600,AT5G37600.1,GLN1,1,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT1G66200,AT1G66200.3,GLN1,2,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT3G17820,AT3G17820.1,GLN1,3,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT5G16570,AT5G16570.1,GLN1,4,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP
AT5G35630,AT5G35630.1,GLN2,GLUTAMINESYN-RXN,6.3.1.2,glutamine synthetase,EV-EXP,
AT1G48470,AT1G48470.1,GLN1,5,GLUTAMINESYN-RXN,6.3.1.2,glutamate-ammonia ligase,EV-AS
AT4G13890,AT4G13890.1,AT4G13890.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT1G36370,AT1G36370.1,AT1G36370.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT4G32520,AT4G32520.1,AT4G32520.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT1G22020,AT1G22020.1,AT1G22020.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT4G13930,AT4G13930.1,AT4G13930.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
GQT-498,AT5G26780.2,AT5G26780.2,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT4G37930,AT4G37930.1,AT4G37930.1,GLYOHMETRANS-RXN,2.1.2.1,serine hydroxymethyltransferase,EV-EXP,
AGT1,AT2G13360.1,AGT1,GLYCINE-AMINOTRANSFERASE-RXN,2.6.1.4,glyoxylate aminotransferase,EV-EXP,
AT1G23310,AT1G23310.1,AOAT1,GLYCINE-AMINOTRANSFERASE-RXN,2.6.1.4,glycine transaminase,EV-EXP,
AT1G70580,AT1G70580.1,AOAT2,GLYCINE-AMINOTRANSFERASE-RXN,2.6.1.4,glycine transaminase,EV-EXP,
AT3G04520,AT3G04520.1,THA2,THREONINE-ALDOLASE-RXN,4.1.2.5/4.1.2.48,threonine aldolase,EV-EXP,
AT1G08630,AT1G08630.1,THA1,THREONINE-ALDOLASE-RXN,4.1.2.5/4.1.2.48,threonine aldolase,EV-EXP,
AGT1,AT2G13360.1,AGT1,SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.45,serine:glyoxylate aminotransferase,EV-EXP,
AT4G13890,AT4G13890.1,AT4G13890.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT1G36370,AT1G36370.1,AT1G36370.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT4G32520,AT4G32520.1,AT4G32520.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT1G22020,AT1G22020.1,AT1G22020.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT4G13930,AT4G13930.1,AT4G13930.1,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
GQT-498,AT5G26780.2,AT5G26780.2,GLYOHMETRANS-RXN,2.1.2.1,glycine hydroxymethyltransferase,EV-COMP,
AT4G37930,AT4G37930.1,AT4G37930.1,GLYOHMETRANS-RXN,2.1.2.1,serine hydroxymethyltransferase,EV-EXP,
AT3G08860,AT3G08860.1,AT3G08860.1,ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.44,alanine-glyoxylate transaminase,EV-COMP,
AT4G39660,AT4G39660.1,AT4G39660.1,ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.44,alanine-glyoxylate transaminase,EV-COMP,
AT2G38400,AT2G38400.2,AT2G38400.2,ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.44,alanine-glyoxylate transaminase,EV-COMP,
AT1G70580,AT1G70580.1,AOAT2,ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.44,alanine-glyoxylate transaminase,EV-EXP,
AT1G23310,AT1G23310.1,AOAT1,ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.44,alanine-glyoxylate transaminase,EV-EXP,
AGT1,AT2G13360.1,AGT1,ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN,2.6.1.44,alanine:glyoxylate transaminase,EV-EXP,
AT1G58080,AT1G58080.1,AtATP-PRT1,ATPPHOSPHORIBOSYLTRANS-RXN,2.4.2.17,ATP-phosphoribosyl transferase,EV-EXP,
AT1G09795,AT1G09795.1,AtATP-PRT2,ATPPHOSPHORIBOSYLTRANS-RXN,2.4.2.17,ATP-phosphoribosyl  transferase,EV-EXP,
AT1G31860,AT1G31860.1,AT1G31860.1,HISTPRATPHYD-RXN,3.6.1.31,phosphoribosyl-ATP pyrophosphohydrolase,EV-EXP,
AT1G31860,AT1G31860.1,AT1G31860.1,HISTCYCLOHYD-RXN,3.5.4.19,phosphoribosyl-AMP cyclohydrolase,EV-EXP,
AT2G36230,AT2G36230.1,AT2G36230.1,PRIBFAICARPISOM-RXN,5.3.1.16,phosphoribosyl-formimino-5-aminoimidazole-4-carboxamide ribonucleotide isomerase,EV-EXP,
AT4G26900,AT4G26900.1,AT4G26900.1,GLUTAMIDOTRANS-RXN,2.4.2.-,imidazoleglycerolphosphate synthase,EV-EXP,
AT3G22425,AT3G22425.2,HISN5A,IMIDPHOSDEHYD-RXN,4.2.1.19,imidazoleglycerolphosphate dehydratase,EV-EXP,
AT4G14910,AT4G14910.2,HISN5B,IMIDPHOSDEHYD-RXN,4.2.1.19,imidazoleglycerol-phosphate dehydratase,EV-AS,
AT5G10330,AT5G10330.1,HISN6A,HISTAMINOTRANS-RXN,2.6.1.9,histidinol-phosphate transaminase,EV-EXP,
AT1G71920,AT1G71920.2,HISN6B,HISTAMINOTRANS-RXN,2.6.1.9,histidinol-phosphate transaminase,EV-AS,
AT4G39120,AT4G39120.1,HISN7,HISTIDPHOS-RXN,3.1.3.15,histidinol-phosphate phosphatase,EV-EXP,
GQT-4734,AT5G52490.1,AT5G52490.1,HISTOLDEHYD-RXN,No EC#,Histidinol dehydrogenase,EV-COMP,
AT5G63890,AT5G63890.2,HISN8,HISTOLDEHYD-RXN,No EC#,histidinol dehydrogenase,EV-AS,
GQT-4734,AT5G52490.1,AT5G52490.1,HISTALDEHYD-RXN,No EC#,Histidinal dehydrogenase,EV-COMP,
AT5G63890,AT5G63890.2,HISN8,HISTALDEHYD-RXN,No EC#,histidinol dehydrogenase,EV-AS,
AT2G22250,AT2G22250.2,AT2G22250.2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT5G11520,AT5G11520.1,ASP3,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT1G62800,AT1G62800.2,AT1G62800.2,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-COMP,
AT5G51690,AT5G51690.1,ACS12,ASPAMINOTRANS-RXN,2.6.1.1,aspartate transaminase,EV-EXP,
